gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000105520,0.186046511627907,0.689922480620155,0.124031007751938,57.95,21.89,0.889411981071376,0.00630892802781491,0.0977497256937854,0.905840632020225
ENSG00000115266,0.193798449612403,0.689922480620155,0.116279069767442,63.14,34.64,0.88151259890552,0.00630892802781491,0.0587768496689783,0.791309965693
ENSG00000124313,0.217054263565891,0.689922480620155,0.0930232558139535,59.73,33.92,0.85545219620235,0.00630892802781491,0.0826747475768766,0.799397094445741
ENSG00000137507,0.217054263565891,0.689922480620155,0.0930232558139535,65.69,29.02,0.85545219620235,0.00630892802781491,0.0447444507650256,0.84928977685634
ENSG00000169750,0.248062015503876,0.689922480620155,0.062015503875969,71.39,35.64,0.815089433846208,0.00630892802781491,0.0230029621516299,0.779764742849594
ENSG00000179862,0.0930232558139535,0.689922480620155,0.217054263565892,67.67,13.48,0.956671744387278,0.00630892802781491,0.0358237568142608,0.950365024921681
ENSG00000187091,0.201550387596899,0.689922480620155,0.108527131782946,57.55,16.74,0.873222544488604,0.00630892802781491,0.101398747577577,0.935667250498007
ENSG00000197766,0.286821705426357,0.689922480620155,0.0232558139534883,126.29,36.67,0.755746190415242,0.00630892802781491,5.92228823093066e-07,0.767499129663195
ENSG00000198853,0.232558139534884,0.689922480620155,0.0775193798449613,60.05,31.54,0.83607609213002,0.00630892802781491,0.0801609504118588,0.824760490121719
ENSG00000275074,0.248062015503876,0.689922480620155,0.062015503875969,74.95,27.59,0.815089433846208,0.00630892802781491,0.014592338121947,0.862140296309259
ENSG00000010626,0.232558139534884,0.682170542635659,0.0852713178294574,53.76,20.55,0.83607609213002,0.00730532518441907,0.140967230035927,0.914437964692241
ENSG00000104957,0.186046511627907,0.682170542635659,0.131782945736434,52.31,24.74,0.889411981071376,0.00730532518441907,0.15856563025102,0.885468764215823
ENSG00000115661,0.24031007751938,0.682170542635659,0.0775193798449613,49.95,21.01,0.825783546079004,0.00730532518441907,0.190161020553004,0.911555489076111
ENSG00000125740,0.263565891472868,0.682170542635659,0.0542635658914729,143.53,37.14,0.792509303849266,0.00730532518441907,4.27507518274695e-09,0.761778420694755
ENSG00000130222,0.248062015503876,0.682170542635659,0.0697674418604651,75.74,37.29,0.815089433846208,0.00730532518441907,0.0131355969926303,0.75993656053834
