gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000168067,0.291970802919708,0.616788321167883,0.0912408759124088,96.01,45.54,0.694129110413928,0.0306800919123156,0.29015923830903,0.792801171394698
ENSG00000182208,0.22992700729927,0.616788321167883,0.153284671532847,98.56,39.06,0.823211641855385,0.0306800919123156,0.266586904519905,0.834900264313643
ENSG00000104863,0.277372262773723,0.613138686131387,0.10948905109489,128.91,44.26,0.727886148435183,0.0326360060268748,0.0722456585540155,0.801585149571028
ENSG00000114812,0.288321167883212,0.613138686131387,0.0985401459854015,170.53,54.61,0.702740762255053,0.0326360060268748,0.00458245755511044,0.724306035247154
ENSG00000130558,0.22992700729927,0.613138686131387,0.156934306569343,203.33,58.26,0.823211641855385,0.0326360060268748,0.000224530639752918,0.693904269631134
ENSG00000159461,0.31021897810219,0.613138686131387,0.0766423357664233,108.91,47.1,0.649523479647857,0.0326360060268748,0.181860827668976,0.781790527751631
ENSG00000171914,0.295620437956204,0.613138686131387,0.0912408759124087,146.14,55.34,0.685408768167372,0.0326360060268748,0.0265608467739479,0.71834595168557
ENSG00000198324,0.22992700729927,0.613138686131387,0.156934306569343,97.59,36.93,0.823211641855385,0.0326360060268748,0.275438540819826,0.847434886679769
ENSG00000100151,0.208029197080292,0.609489051094891,0.182481751824818,120.83,24.66,0.859022806046753,0.0346936233392101,0.108103778491948,0.90721284835663
ENSG00000100284,0.284671532846715,0.609489051094891,0.105839416058394,116.93,36.52,0.711239887281605,0.0346936233392101,0.129399132791002,0.84977321428938
ENSG00000104866,0.277372262773723,0.609489051094891,0.113138686131387,122.84,32.6,0.727886148435183,0.0346936233392101,0.0981702231067265,0.870921717633549
ENSG00000135924,0.317518248175182,0.609489051094891,0.072992700729927,114.76,46.98,0.631041288881662,0.0346936233392101,0.142432207568031,0.782649289101874
ENSG00000141562,0.328467153284672,0.609489051094891,0.0620437956204381,96.41,52.08,0.602753154398686,0.0346936233392101,0.286397816903489,0.744469840758834
ENSG00000141933,0.302919708029197,0.609489051094891,0.0875912408759124,95.86,46.21,0.667658262678639,0.0346936233392101,0.291575714935004,0.788113040247693
ENSG00000159733,0.266423357664234,0.609489051094891,0.124087591240876,150.68,49.07,0.751926615904784,0.0346936233392101,0.0197470747005315,0.76741571686334
ENSG00000167702,0.240875912408759,0.609489051094891,0.14963503649635,139.21,43.46,0.803320397694835,0.0346936233392101,0.0406651814369519,0.806959219452824
ENSG00000168763,0.284671532846715,0.609489051094891,0.105839416058394,106.19,40.85,0.711239887281605,0.0346936233392101,0.202319674542386,0.82386522413839
ENSG00000175224,0.262773722627737,0.609489051094891,0.127737226277372,101,39.71,0.759680726402981,0.0346936233392101,0.244975411766045,0.830945992187334
ENSG00000178028,0.273722627737226,0.609489051094891,0.116788321167883,93.98,35.17,0.736026560838539,0.0346936233392101,0.309595954092324,0.8573030180813
ENSG00000188895,0.284671532846715,0.609489051094891,0.105839416058394,90.44,44.51,0.711239887281605,0.0346936233392101,0.344772009235705,0.799887414189422
ENSG00000255112,0.284671532846715,0.609489051094891,0.105839416058394,94.32,42.25,0.711239887281605,0.0346936233392101,0.306301108306803,0.814916666231896
